team,coach,playstyle,player,position,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
Poland,Sarah Holmes,complementary,Travis House,F,0.843,-1.065,0.198,-0.747,0.000,0.559,-1.664,-0.771
Poland,Sarah Holmes,complementary,Steven Simmons,F,0.473,-0.634,0.681,0.076,0.000,-0.776,0.214,0.595
Poland,Sarah Holmes,complementary,Mark Harris 2,F,-0.322,-0.205,1.140,-0.603,0.000,-1.088,0.944,0.010
Poland,Sarah Holmes,complementary,Alexander Diaz,D,0.787,0.141,-0.941,0.298,0.000,-0.807,-1.549,0.286
Poland,Sarah Holmes,complementary,Jonathan Hall,D,-0.412,-2.001,-2.497,0.403,0.000,1.207,1.191,-4.507
Poland,Sarah Holmes,complementary,Steven Ibarra,D,-1.010,-0.123,-1.134,-0.508,0.000,-0.638,1.664,-2.774
Poland,Sarah Holmes,complementary,Erik Atkins,D,1.968,-1.053,0.637,0.898,0.000,1.873,-1.561,2.450
Poland,Sarah Holmes,complementary,Christopher Travis,G,0.000,0.000,0.000,0.000,-0.155,1.849,-0.183,-0.155
Slovenia,Marilyn Ortega,star-centric,Michael Washington,F,2.183,-0.025,0.106,-0.371,0.000,-1.380,-0.867,1.893
Slovenia,Marilyn Ortega,star-centric,Brandon Cox,F,-0.647,-0.591,1.259,-1.564,0.000,-0.613,1.527,-1.544
Slovenia,Marilyn Ortega,star-centric,Brandon Brown,F,-0.489,0.291,-1.855,-2.230,0.000,0.512,0.866,-4.283
Slovenia,Marilyn Ortega,star-centric,Christopher Cantrell,F,0.956,-0.034,-0.387,-0.705,0.000,0.177,0.895,-0.170
Slovenia,Marilyn Ortega,star-centric,Timothy Ramos,F,1.755,-0.271,0.668,0.598,0.000,-0.062,0.842,2.750
Slovenia,Marilyn Ortega,star-centric,Brian Reed,F,0.970,0.344,1.470,0.631,0.000,-0.802,-1.284,3.415
Slovenia,Marilyn Ortega,star-centric,Christopher Mann,D,0.079,0.137,-2.386,0.101,0.000,-1.247,-1.303,-2.069
Slovenia,Marilyn Ortega,star-centric,Brian Thomas,D,0.365,0.352,0.283,-0.179,0.000,0.572,0.445,0.820
Slovenia,Marilyn Ortega,star-centric,Eric Thompson,D,1.617,1.524,1.627,-1.915,0.000,-0.067,0.743,2.854
Slovenia,Marilyn Ortega,star-centric,Andrew Schmidt,D,-2.396,-0.058,-0.623,0.815,0.000,-0.111,0.328,-2.262
Slovenia,Marilyn Ortega,star-centric,Patrick Hines,G,0.000,0.000,0.000,0.000,-1.194,-0.293,-2.258,-1.194
Croatia,John Schmidt,hyper-offensive,Michael Lucas,F,0.021,-0.665,-0.284,1.901,0.000,-0.568,0.413,0.972
Croatia,John Schmidt,hyper-offensive,Christopher Padilla,F,0.275,2.065,-0.773,-0.789,0.000,-2.260,0.440,0.778
Croatia,John Schmidt,hyper-offensive,Adam Whitehead,F,-0.500,-0.765,-0.785,1.118,0.000,-0.070,2.071,-0.932
Croatia,John Schmidt,hyper-offensive,Scott Rodriguez,F,-0.115,1.057,-0.021,-0.230,0.000,-0.970,-0.726,0.690
Croatia,John Schmidt,hyper-offensive,Ricardo Preston,F,-0.254,1.694,-0.261,-1.867,0.000,-0.009,1.640,-0.688
Croatia,John Schmidt,hyper-offensive,William Brown,F,1.435,0.661,-1.039,-0.158,0.000,-0.358,0.492,0.898
Croatia,John Schmidt,hyper-offensive,Ricardo Ramirez,D,-1.523,0.217,-0.154,-0.423,0.000,-1.382,0.754,-1.883
Croatia,John Schmidt,hyper-offensive,James Barnes,D,0.597,-0.086,0.360,-0.606,0.000,0.645,1.588,0.264
Croatia,John Schmidt,hyper-offensive,Brian Stewart,D,-1.353,2.928,-0.772,0.440,0.000,0.520,-0.184,1.243
Croatia,John Schmidt,hyper-offensive,Joseph Colon,D,-0.154,-0.665,1.869,1.835,0.000,0.169,-0.347,2.885
Croatia,John Schmidt,hyper-offensive,Kevin Atkins,G,0.000,0.000,0.000,0.000,-0.909,0.035,1.914,-0.909
Hungary,Steven George,star-centric,Gregory Davis,F,-0.421,0.691,-0.369,-0.483,0.000,0.768,0.504,-0.583
Hungary,Steven George,star-centric,Michael Moore,F,-1.028,0.847,-0.640,0.118,0.000,0.149,-2.354,-0.703
Hungary,Steven George,star-centric,Christopher Flores,F,-1.276,0.363,1.509,0.861,0.000,0.995,0.613,1.457
Hungary,Steven George,star-centric,Clinton Lopez,F,1.100,0.744,-0.515,-1.759,0.000,-0.076,1.680,-0.430
Hungary,Steven George,star-centric,Matthew Rodriguez,F,0.588,-1.339,1.374,0.555,0.000,1.724,0.380,1.179
Hungary,Steven George,star-centric,Benjamin Smith,F,0.084,-0.838,-0.434,0.048,0.000,-1.214,-0.074,-1.140
Hungary,Steven George,star-centric,Jeffery Strickland,D,-0.063,-0.814,-0.602,-0.460,0.000,0.749,0.386,-1.939
Hungary,Steven George,star-centric,Kyle Johnson,D,-0.959,-0.683,-0.119,-0.214,0.000,0.082,-1.827,-1.974
Hungary,Steven George,star-centric,Andrew Clayton,D,2.226,-0.794,-0.132,0.341,0.000,0.751,0.560,1.642
Hungary,Steven George,star-centric,Dennis Gonzalez,D,-0.115,-0.045,-0.354,-0.138,0.000,2.087,-1.866,-0.651
Hungary,Steven George,star-centric,James Murphy,G,0.000,0.000,0.000,0.000,-0.371,-0.044,-1.160,-0.371
Romania,Ashley Waller,hyper-offensive,Harold Cortez,F,-0.935,-0.072,-0.062,-1.336,0.000,-0.432,-0.597,-2.406
Romania,Ashley Waller,hyper-offensive,Matthew Campos,F,-0.374,-1.258,1.556,0.244,0.000,-0.685,0.792,0.168
Romania,Ashley Waller,hyper-offensive,Timothy Murphy,F,1.019,-0.746,2.473,0.562,0.000,1.525,-0.204,3.308
Romania,Ashley Waller,hyper-offensive,Anthony Hudson,F,-1.921,0.413,2.862,2.067,0.000,0.297,-1.007,3.422
Romania,Ashley Waller,hyper-offensive,John Richards,F,-0.587,-2.003,1.116,0.838,0.000,-1.127,0.215,-0.636
Romania,Ashley Waller,hyper-offensive,Jason Baxter,F,1.100,-1.054,0.974,-1.157,0.000,0.881,-0.458,-0.138
Romania,Ashley Waller,hyper-offensive,Ryan Baker,D,-0.191,-1.573,1.063,1.193,0.000,0.328,0.478,0.492
Romania,Ashley Waller,hyper-offensive,Theodore Moore,D,0.507,-0.122,-0.007,-1.391,0.000,0.373,0.510,-1.014
Romania,Ashley Waller,hyper-offensive,Reginald Nelson,D,-1.035,-0.534,-0.606,-1.405,0.000,1.342,0.554,-3.580
Romania,Ashley Waller,hyper-offensive,Dale Baker,D,-1.169,0.302,-0.329,-1.612,0.000,0.055,-0.522,-2.809
Romania,Ashley Waller,hyper-offensive,Jacob Roth,G,0.000,0.000,0.000,0.000,0.749,-0.534,-1.028,0.749
Kazakhstan,Michael Kelly,complementary,Trevor Figueroa,F,-1.206,-0.495,-0.468,-0.115,0.000,-0.270,-1.245,-2.284
Kazakhstan,Michael Kelly,complementary,Jeffrey Aguilar,F,-0.016,-1.029,-0.160,0.053,0.000,1.318,0.002,-1.152
Kazakhstan,Michael Kelly,complementary,Jonathan Burton,F,-1.437,-0.650,-0.537,-1.162,0.000,0.619,0.499,-3.786
Kazakhstan,Michael Kelly,complementary,Jimmy King,F,0.693,-0.220,0.437,-0.807,0.000,0.286,0.899,0.103
Kazakhstan,Michael Kelly,complementary,Chad Chen,F,1.076,0.850,0.245,1.089,0.000,0.299,1.153,3.260
Kazakhstan,Michael Kelly,complementary,Allen Taylor,F,-1.068,0.789,-0.498,0.005,0.000,-1.664,-0.067,-0.772
Kazakhstan,Michael Kelly,complementary,Isaac Cross,D,-1.298,-0.365,0.280,-2.498,0.000,-0.065,0.871,-3.881
Kazakhstan,Michael Kelly,complementary,Ronald Love,D,0.194,-0.330,-0.383,-1.326,0.000,1.127,-0.841,-1.845
Kazakhstan,Michael Kelly,complementary,Patrick Gomez,D,-0.763,0.188,-0.030,-0.150,0.000,-2.508,-1.424,-0.754
Kazakhstan,Michael Kelly,complementary,Gerald Wells,D,0.327,-0.039,0.715,1.937,0.000,-0.382,0.037,2.939
Kazakhstan,Michael Kelly,complementary,Damon Glover,G,0.000,0.000,0.000,0.000,0.810,-0.182,-2.167,0.810
Ukraine,Robert Ramsey,balanced,Douglas Parks,F,0.458,0.090,-0.392,0.084,0.000,-0.305,0.249,0.241
Ukraine,Robert Ramsey,balanced,Bernard Long,F,-1.198,0.158,0.704,0.113,0.000,0.218,0.229,-0.223
Ukraine,Robert Ramsey,balanced,Kenneth Quinn,F,-0.879,0.337,-2.456,-0.267,0.000,-0.762,1.880,-3.264
Ukraine,Robert Ramsey,balanced,Philip Mcguire,F,0.915,0.427,0.758,2.125,0.000,1.204,0.352,4.224
Ukraine,Robert Ramsey,balanced,Donald Henderson,F,-0.857,-1.797,1.951,-0.960,0.000,-2.202,1.620,-1.663
Ukraine,Robert Ramsey,balanced,Troy Walker,F,-0.171,0.122,-0.313,-1.464,0.000,-0.783,1.289,-1.826
Ukraine,Robert Ramsey,balanced,Curtis Gordon,D,-1.070,-1.160,-0.966,1.943,0.000,-2.574,-0.719,-1.254
Ukraine,Robert Ramsey,balanced,Mario Mendoza,D,-0.010,-0.541,0.369,0.608,0.000,-2.704,0.568,0.427
Ukraine,Robert Ramsey,balanced,Victor Parker,D,0.471,-0.478,1.176,-0.485,0.000,-1.766,-0.277,0.683
Ukraine,Robert Ramsey,balanced,David Bennett,D,0.798,-1.289,-1.338,-0.349,0.000,1.852,0.510,-2.177
Ukraine,Robert Ramsey,balanced,Christopher Gonzalez,G,0.000,0.000,0.000,0.000,-0.403,-0.219,-1.462,-0.403
Japan,Paige Lee,hyper-offensive,Dylan Hoffman,F,-2.461,-0.968,-1.318,0.374,0.000,-1.927,-1.275,-4.372
Japan,Paige Lee,hyper-offensive,Jesse Jones,F,-1.787,-0.693,-1.571,3.047,0.000,-1.076,0.868,-1.004
Japan,Paige Lee,hyper-offensive,Jeffrey Owen,F,-0.428,-0.779,-0.046,1.513,0.000,-0.894,0.224,0.260
Japan,Paige Lee,hyper-offensive,Gregory Mendoza,F,0.232,0.902,-1.096,1.981,0.000,-0.023,-0.144,2.019
Japan,Paige Lee,hyper-offensive,Jason Bryant,F,0.627,-0.955,0.724,0.309,0.000,-0.451,0.004,0.705
Japan,Paige Lee,hyper-offensive,Douglas Harvey,F,0.651,-1.013,2.296,-1.011,0.000,2.137,-1.510,0.923
Japan,Paige Lee,hyper-offensive,Charles Dennis,D,0.104,0.674,1.106,-0.096,0.000,-0.202,-0.467,1.789
Japan,Paige Lee,hyper-offensive,Nicholas Gonzales,D,-1.454,-1.189,0.408,-2.266,0.000,-1.971,1.069,-4.502
Japan,Paige Lee,hyper-offensive,Joel Reyes,D,1.630,-0.920,-1.154,0.967,0.000,0.910,0.024,0.523
Japan,Paige Lee,hyper-offensive,Jason Jones,D,0.100,0.380,-1.677,-1.424,0.000,0.626,-0.330,-2.620
Japan,Paige Lee,hyper-offensive,Craig Bentley,G,0.000,0.000,0.000,0.000,-0.638,0.543,0.270,-0.638
South Korea,Steven Ward,complementary,Eric Hogan,F,-0.711,-0.276,-0.724,1.242,0.000,-1.492,0.887,-0.469
South Korea,Steven Ward,complementary,Donald Lee,F,1.430,-0.402,-0.382,-0.436,0.000,-0.513,1.219,0.210
South Korea,Steven Ward,complementary,Brian Meyers,F,0.145,-0.232,-0.209,0.013,0.000,0.277,-0.713,-0.283
South Korea,Steven Ward,complementary,Edwin Brown,F,-0.899,-0.706,-1.617,0.854,0.000,2.271,-1.604,-2.369
South Korea,Steven Ward,complementary,Eric May,F,-1.184,-0.200,0.206,-0.767,0.000,0.813,-0.825,-1.945
South Korea,Steven Ward,complementary,Mark Davidson,F,1.053,0.427,-0.062,-3.485,0.000,-0.884,0.580,-2.067
South Korea,Steven Ward,complementary,Jason Acevedo,D,-0.612,0.035,-0.661,0.581,0.000,-0.588,-0.272,-0.657
South Korea,Steven Ward,complementary,Francis Clark,D,1.353,-0.837,-0.488,0.007,0.000,1.280,0.211,0.035
South Korea,Steven Ward,complementary,Ronald Copeland,D,-0.766,0.047,-0.684,-0.753,0.000,1.825,0.463,-2.156
South Korea,Steven Ward,complementary,Anthony Young,D,2.786,-0.988,-2.339,0.437,0.000,0.741,-2.095,-0.104
South Korea,Steven Ward,complementary,James Watson,G,0.000,0.000,0.000,0.000,0.494,2.326,-0.290,0.494
Netherlands,Timothy Williams,complementary,Kevin White,F,-0.021,0.291,-1.469,-0.968,0.000,0.436,0.709,-2.167
Netherlands,Timothy Williams,complementary,Jason Wells,F,0.450,-0.754,0.588,-0.911,0.000,0.858,1.111,-0.627
Netherlands,Timothy Williams,complementary,Joshua Price,F,-2.263,0.888,-0.344,-0.272,0.000,1.307,-0.989,-1.991
Netherlands,Timothy Williams,complementary,Timothy Lewis,F,1.062,1.250,0.192,-0.001,0.000,0.399,1.902,2.503
Netherlands,Timothy Williams,complementary,Christopher Bird,F,-0.630,-0.399,-2.347,0.425,0.000,-0.923,-0.738,-2.951
Netherlands,Timothy Williams,complementary,Joseph Davis,F,0.104,0.502,-1.142,-0.846,0.000,1.402,-0.057,-1.382
Netherlands,Timothy Williams,complementary,John Ortiz,D,-0.191,1.497,1.092,-0.689,0.000,-0.171,1.133,1.708
Netherlands,Timothy Williams,complementary,Christopher Taylor,D,0.556,1.195,-1.057,-0.220,0.000,-0.676,-0.337,0.475
Netherlands,Timothy Williams,complementary,Ryan Davis,D,1.260,-2.075,0.689,-1.059,0.000,-1.868,-0.047,-1.184
Netherlands,Timothy Williams,complementary,Benjamin Harmon,D,-0.980,0.416,0.822,0.517,0.000,-0.470,0.513,0.775
Netherlands,Timothy Williams,complementary,Andrew Skinner,G,0.000,0.000,0.000,0.000,-0.330,1.825,0.248,-0.330
Belgium,Jenna Rollins,complementary,Larry Irwin,F,-1.086,-0.387,-0.428,-0.289,0.000,-0.324,0.468,-2.190
Belgium,Jenna Rollins,complementary,Jamie Miller,F,0.045,2.234,-0.731,-0.538,0.000,-0.937,2.050,1.010
Belgium,Jenna Rollins,complementary,Eric Luna,F,-1.321,-1.776,0.202,-0.798,0.000,-0.092,0.104,-3.693
Belgium,Jenna Rollins,complementary,Andre Velasquez,F,1.385,0.064,2.190,0.615,0.000,1.400,0.673,4.255
Belgium,Jenna Rollins,complementary,Eugene Weeks,F,0.913,-0.783,1.061,-0.968,0.000,0.969,0.012,0.224
Belgium,Jenna Rollins,complementary,James Jones,F,-0.014,1.084,-0.161,0.548,0.000,-0.067,-0.075,1.457
Belgium,Jenna Rollins,complementary,David Davis,D,0.325,-1.965,-0.193,0.064,0.000,-0.625,0.996,-1.768
Belgium,Jenna Rollins,complementary,Eric Osborne,D,0.108,0.197,-0.743,-1.158,0.000,0.172,-0.020,-1.596
Belgium,Jenna Rollins,complementary,Travis Webb,D,-1.056,-0.713,-1.045,0.696,0.000,0.124,-0.878,-2.118
Belgium,Jenna Rollins,complementary,James Lee,D,-0.554,-2.046,-0.005,0.087,0.000,0.252,-0.313,-2.518
Belgium,Jenna Rollins,complementary,John Martinez,G,0.000,0.000,0.000,0.000,0.763,0.786,-0.195,0.763
Spain,Emily Burton,hyper-offensive,Eddie Thomas,F,0.561,-1.084,-0.447,-0.086,0.000,-0.045,0.272,-1.057
Spain,Emily Burton,hyper-offensive,James Morgan,F,-0.953,-1.121,-0.873,0.585,0.000,-0.944,0.231,-2.361
Spain,Emily Burton,hyper-offensive,Joseph Jimenez,F,0.809,0.421,-0.778,-0.294,0.000,-1.972,0.540,0.159
Spain,Emily Burton,hyper-offensive,Adam Bowman,F,-1.935,-0.172,-1.011,0.565,0.000,-0.886,-0.608,-2.553
Spain,Emily Burton,hyper-offensive,Michael Jackson,F,0.612,-0.012,-0.626,-0.064,0.000,-0.580,-0.146,-0.090
Spain,Emily Burton,hyper-offensive,Nicholas Huynh,F,0.177,-0.804,0.344,-1.750,0.000,-0.717,0.339,-2.033
Spain,Emily Burton,hyper-offensive,Daniel Nelson,D,-0.340,0.770,1.531,-0.278,0.000,1.138,-1.978,1.683
Spain,Emily Burton,hyper-offensive,Daniel Brandt,D,0.822,-0.074,-1.811,-0.816,0.000,0.465,0.516,-1.879
Spain,Emily Burton,hyper-offensive,David Harris,D,-0.179,1.826,-0.004,-1.022,0.000,0.429,-1.128,0.621
Spain,Emily Burton,hyper-offensive,Caleb Mason,D,0.270,0.742,0.546,0.297,0.000,-0.126,-0.704,1.855
Spain,Emily Burton,hyper-offensive,Robert Day,G,0.000,0.000,0.000,0.000,0.355,0.929,-0.428,0.355
China,Anthony Carlson,hyper-defensive,Tyler Johns,F,-0.525,-1.702,-0.269,-0.322,0.000,-1.130,1.162,-2.818
China,Anthony Carlson,hyper-defensive,Todd Bowman,F,-0.362,-0.461,-0.422,-0.023,0.000,-0.098,-0.896,-1.269
China,Anthony Carlson,hyper-defensive,Logan Clay,F,0.757,0.599,0.474,-0.950,0.000,-0.566,-1.198,0.881
China,Anthony Carlson,hyper-defensive,Nathan Johnson,F,-0.632,-0.288,-0.219,0.759,0.000,-0.434,-0.159,-0.380
China,Anthony Carlson,hyper-defensive,Jeffrey Benson,F,-1.518,0.247,-0.342,-0.813,0.000,-0.495,0.016,-2.426
China,Anthony Carlson,hyper-defensive,James Reyes,F,-0.010,-0.580,-0.715,1.414,0.000,0.119,0.031,0.108
China,Anthony Carlson,hyper-defensive,Michael Clayton,D,-0.441,0.246,-0.198,-0.463,0.000,1.884,0.681,-0.856
China,Anthony Carlson,hyper-defensive,Christopher Finley,D,-0.647,-0.649,0.585,1.204,0.000,0.820,-0.690,0.492
China,Anthony Carlson,hyper-defensive,John Cooper,D,-0.938,1.561,0.142,-2.091,0.000,-1.649,-0.115,-1.326
China,Anthony Carlson,hyper-defensive,Kenneth Smith,D,0.437,-0.299,0.317,0.622,0.000,0.447,-1.130,1.076
China,Anthony Carlson,hyper-defensive,Jeremy Duncan,G,0.000,0.000,0.000,0.000,1.225,0.583,-0.746,1.225
